frame,width,height,batches,vertices,clears,snapshot,color_differences,depth_differences,mirror_us,snapshot_us
2124,2736,4096,5196,7972566,1485,0,0,0,362.100,0.000
2125,2736,4096,5203,7975116,1487,0,0,0,362.500,0.000
2126,2736,4096,5209,7977666,1489,0,0,0,362.800,0.000
2127,2736,4096,5216,7980216,1491,0,0,0,363.200,0.000
2128,2736,4096,5222,7982766,1493,0,0,0,363.700,0.000
2129,2736,4096,5228,7985316,1495,0,0,0,364.000,0.000
2130,2736,4096,5234,7987866,1497,0,0,0,364.300,0.000
2131,2736,4096,5240,7990416,1499,0,0,0,364.500,0.000
2132,2736,4096,5246,7992966,1501,0,0,0,364.800,0.000
2133,2736,4096,5252,7995516,1503,0,0,0,365.100,0.000
2134,2736,4096,5258,7998066,1505,0,0,0,365.400,0.000
2135,2736,4096,5264,8000616,1507,0,0,0,365.700,0.000
2136,2736,4096,5270,8003166,1509,0,0,0,366.100,0.000
2137,2736,4096,5276,8005716,1511,0,0,0,366.300,0.000
2138,2736,4096,5282,8008266,1513,0,0,0,366.500,0.000
2139,2736,4096,5288,8010816,1515,0,0,0,367.200,0.000
2140,2736,4096,5294,8013366,1517,0,0,0,367.500,0.000
2141,2736,4096,5300,8015916,1519,0,0,0,367.800,0.000
2142,2736,4096,5306,8018466,1521,0,0,0,368.100,0.000
2143,2736,4096,5312,8021016,1523,0,0,0,368.400,0.000
2144,2736,4096,5317,8023548,1525,0,0,0,368.700,0.000
2145,2736,4096,5322,8026080,1527,0,0,0,369.000,0.000
2146,2736,4096,5327,8028612,1529,0,0,0,369.100,0.000
2147,2736,4096,5333,8031144,1531,0,0,0,369.600,0.000
2148,2736,4096,5338,8033676,1533,0,0,0,369.700,0.000
2149,2736,4096,5343,8036208,1535,0,0,0,371.000,0.000
2150,2736,4096,5348,8038740,1537,0,0,0,371.300,0.000
2151,2736,4096,5353,8041272,1539,0,0,0,371.500,0.000
2152,2736,4096,5358,8043804,1541,0,0,0,371.900,0.000
2153,2736,4096,5363,8046336,1543,0,0,0,372.300,0.000
2154,2736,4096,5368,8048868,1545,0,0,0,372.500,0.000
2155,2736,4096,5373,8051400,1547,0,0,0,372.600,0.000
2156,2736,4096,5378,8053932,1549,0,0,0,372.900,0.000
2157,2736,4096,5383,8056464,1551,0,0,0,373.200,0.000
2158,2736,4096,5388,8058996,1553,0,0,0,373.400,0.000
2159,2736,4096,5394,8061528,1555,0,0,0,373.800,0.000
2160,2736,4096,5399,8064060,1557,0,0,0,374.200,0.000
2161,2736,4096,5404,8066592,1559,0,0,0,374.600,0.000
2162,2736,4096,5409,8069124,1561,0,0,0,374.800,0.000
2163,2736,4096,5414,8071656,1563,0,0,0,375.000,0.000
2164,2736,4096,5419,8074188,1565,0,0,0,375.300,0.000
2165,2736,4096,5424,8076720,1567,0,0,0,375.600,0.000
2166,2736,4096,5429,8079252,1569,0,0,0,375.900,0.000
2167,2736,4096,5434,8081784,1571,0,0,0,376.300,0.000
2168,2736,4096,5439,8084316,1573,0,0,0,376.600,0.000
2169,2736,4096,5444,8086848,1575,0,0,0,376.900,0.000
2170,2736,4096,5449,8089380,1577,0,0,0,377.200,0.000
2171,2736,4096,5454,8091912,1579,0,0,0,377.500,0.000
2172,2736,4096,5459,8094444,1581,0,0,0,377.800,0.000
2173,2736,4096,5464,8096976,1583,0,0,0,378.200,0.000
2174,2736,4096,5469,8099508,1585,0,0,0,378.300,0.000
2175,2736,4096,5474,8102040,1587,0,0,0,378.500,0.000
2176,2736,4096,5479,8104572,1589,0,0,0,378.700,0.000
2177,2736,4096,5484,8107104,1591,0,0,0,379.100,0.000
2178,2736,4096,5489,8109636,1593,0,0,0,379.400,0.000
2179,2736,4096,5494,8112168,1595,0,0,0,379.700,0.000
2180,2736,4096,5499,8114700,1597,0,0,0,380.100,0.000
2181,2736,4096,5504,8117232,1599,0,0,0,380.300,0.000
2182,2736,4096,5509,8119758,1601,0,0,0,380.600,0.000
2183,2736,4096,5514,8122284,1603,0,0,0,381.000,0.000
2184,2736,4096,5519,8124810,1605,0,0,0,381.300,0.000
2185,2736,4096,5524,8127336,1607,0,0,0,381.600,0.000
2186,2736,4096,5529,8129862,1609,0,0,0,381.900,0.000
2187,2736,4096,5534,8132388,1611,0,0,0,382.200,0.000
2188,2736,4096,5539,8134914,1613,0,0,0,382.500,0.000
2189,2736,4096,5544,8137440,1615,0,0,0,382.800,0.000
2190,2736,4096,5549,8139960,1617,0,0,0,383.100,0.000
2191,2736,4096,5554,8142474,1619,0,0,0,383.300,0.000
2192,2736,4096,5559,8144958,1621,0,0,0,383.600,0.000
2193,2736,4096,5564,8147436,1623,0,0,0,384.100,0.000
2194,2736,4096,5569,8149914,1625,0,0,0,384.400,0.000
2195,2736,4096,5574,8152392,1627,0,0,0,384.600,0.000
2196,2736,4096,5579,8154870,1629,0,0,0,384.800,0.000
2197,2736,4096,5584,8157336,1631,0,0,0,385.000,0.000
2198,2736,4096,5589,8159766,1633,0,0,0,385.300,0.000
2199,2736,4096,5594,8162196,1635,0,0,0,385.500,0.000
2200,2736,4096,5599,8164626,1637,0,0,0,385.700,0.000
2201,2736,4096,5604,8167056,1639,0,0,0,385.900,0.000
2202,2736,4096,5609,8169486,1641,0,0,0,386.100,0.000
2203,2736,4096,5614,8171916,1643,0,0,0,386.400,0.000
2204,2736,4096,5619,8174346,1645,0,0,0,386.700,0.000
2205,2736,4096,5624,8176776,1647,0,0,0,387.000,0.000
2206,2736,4096,5629,8179206,1649,0,0,0,387.300,0.000
2207,2736,4096,5634,8181636,1651,0,0,0,387.600,0.000
2208,2736,4096,5639,8184066,1653,0,0,0,388.000,0.000
2209,2736,4096,5644,8186496,1655,0,0,0,388.400,0.000
2210,2736,4096,5649,8188926,1657,0,0,0,388.700,0.000
2211,2736,4096,5654,8191356,1659,0,0,0,389.000,0.000
2212,2736,4096,5659,8193786,1661,0,0,0,389.400,0.000
2213,2736,4096,5664,8196216,1663,0,0,0,389.600,0.000
2214,2736,4096,5668,8198634,1665,0,0,0,389.900,0.000
2215,2736,4096,5672,8201052,1667,0,0,0,390.000,0.000
2216,2736,4096,5676,8203470,1669,0,0,0,390.200,0.000
2217,2736,4096,5680,8205888,1671,0,0,0,390.500,0.000
2218,2736,4096,5684,8208306,1673,0,0,0,390.700,0.000
2219,2736,4096,5688,8210724,1675,0,0,0,390.900,0.000
2220,2736,4096,5692,8213142,1677,0,0,0,391.000,0.000
2221,2736,4096,5701,8215662,1679,0,0,0,391.400,0.000
2222,2736,4096,5711,8218182,1681,0,0,0,391.800,0.000
2223,2736,4096,5721,8220702,1683,0,0,0,392.100,0.000
2224,2736,4096,5731,8223222,1685,0,0,0,392.500,0.000
2225,2736,4096,5741,8225742,1687,0,0,0,392.800,0.000
2226,2736,4096,5751,8228262,1689,0,0,0,393.200,0.000
