frame,x,y,z,m0,m1,m2,m3,m4,m5,m6,m7,m8
5996,128e855d,0e442797,1357ca31,fd78cfc0,80000000,ff785404,80000000,00000000,80000000,ff87abfc,80000000,fd78cfc0
5997,128e855d,0e442797,1357ca31,fd78cfc0,80000000,ff785404,80000000,00000000,80000000,ff87abfc,80000000,fd78cfc0
5998,128e1c9d,0e43ccb1,1357d651,fd6c9a78,80000000,ff791299,80000000,00000000,80000000,ff86ed67,80000000,fd6c9a78
5999,128e1c9d,0e43ccb1,1357d651,fd6c9a78,80000000,ff791299,80000000,00000000,80000000,ff86ed67,80000000,fd6c9a78
6000,128db3bf,0e436e6f,1357e1ca,fd605c03,80000000,ff79c7ac,80000000,00000000,80000000,ff863854,80000000,fd605c03
6001,128db3bf,0e436e6f,1357e1ca,fd605c03,80000000,ff79c7ac,80000000,00000000,80000000,ff863854,80000000,fd605c03
6002,128d4ad4,0e4307c4,1357ec97,fd5414e8,80000000,ff7a730c,80000000,00000000,80000000,ff858cf4,80000000,fd5414e8
6003,128d4ad4,0e4307c4,1357ec97,fd5414e8,80000000,ff7a730c,80000000,00000000,80000000,ff858cf4,80000000,fd5414e8
6004,128ce1c2,0e429ede,1357f667,fd47c5ac,80000000,ff7b14cb,80000000,00000000,80000000,ff84eb35,80000000,fd47c5ac
6005,128ce1c2,0e429ede,1357f667,fd47c5ac,80000000,ff7b14cb,80000000,00000000,80000000,ff84eb35,80000000,fd47c5ac
6006,128c78aa,0e423421,1357ff8e,fd3b6ed6,80000000,ff7bacd6,80000000,00000000,80000000,ff84532a,80000000,fd3b6ed6
6007,128c78aa,0e423421,1357ff8e,fd3b6ed6,80000000,ff7bacd6,80000000,00000000,80000000,ff84532a,80000000,fd3b6ed6
6008,128c0f90,0e41c91e,1358080d,fd2f10aa,80000000,ff7c3b2e,80000000,00000000,80000000,ff83c4d2,80000000,fd2f10aa
6009,128c0f90,0e41c91e,1358080d,fd2f10aa,80000000,ff7c3b2e,80000000,00000000,80000000,ff83c4d2,80000000,fd2f10aa
6010,128ba662,0e41606d,13580f8f,fd22abac,80000000,ff7cbfd3,80000000,00000000,80000000,ff83402d,80000000,fd22abac
6011,128ba662,0e41606d,13580f8f,fd22abac,80000000,ff7cbfd3,80000000,00000000,80000000,ff83402d,80000000,fd22abac
6012,128b3d28,0e40fcbc,13581617,fd164064,80000000,ff7d3ab4,80000000,00000000,80000000,ff82c54c,80000000,fd164064
6013,128b3d28,0e40fcbc,13581617,fd164064,80000000,ff7d3ab4,80000000,00000000,80000000,ff82c54c,80000000,fd164064
6014,128ad3f6,0e409f52,13581bf6,fd09cf9a,80000000,ff7dabd2,80000000,00000000,80000000,ff82542e,80000000,fd09cf9a
6015,128ad3f6,0e409f52,13581bf6,fd09cf9a,80000000,ff7dabd2,80000000,00000000,80000000,ff82542e,80000000,fd09cf9a
